base_date,emd_cd,temp,rain
2019-07-31,2019-07-31,50110630.0,625.6000000000001,940.0
2019-08-31,2019-08-31,50110630.0,712.7999999999997,471.5
2019-09-30,2019-09-30,50110630.0,573.7999999999998,1112.5
2019-10-31,2019-10-31,50110630.0,396.5,332.5
2019-11-30,2019-11-30,50110630.0,264.99999999999994,115.5
2019-12-31,2019-12-31,50110630.0,107.69999999999995,192.5
2019-01-31,2019-01-31,50110640.0,110.10000000000002,32.5
2019-02-28,2019-02-28,50110640.0,130.1,52.5
2019-03-31,2019-03-31,50110640.0,253.49999999999994,78.0
2019-04-30,2019-04-30,50110640.0,377.6999999999999,42.0
2019-05-31,2019-05-31,50110640.0,565.7000000000002,92.5
2019-06-30,2019-06-30,50110640.0,601.4,148.0
2019-07-31,2019-07-31,50110640.0,731.6999999999999,420.5
2019-08-31,2019-08-31,50110640.0,784.7999999999998,366.0
2019-09-30,2019-09-30,50110640.0,650.3,993.5
2019-10-31,2019-10-31,50110640.0,515.5,276.5
2019-11-30,2019-11-30,50110640.0,344.99999999999994,66.5
2019-12-31,2019-12-31,50110640.0,209.79999999999995,67.5
2019-01-31,2019-01-31,50110650.0,-64.60000000000001,20.0
2019-02-28,2019-02-28,50110650.0,-2.5,97.5
2019-03-31,2019-03-31,50110650.0,112.4,100.0
2019-04-30,2019-04-30,50110650.0,269.5,53.5
2019-05-31,2019-05-31,50110650.0,408.09999999999997,337.5
2019-06-30,2019-06-30,50110650.0,466.8,303.5
2019-07-31,2019-07-31,50110650.0,606.6999999999999,932.5
2019-08-31,2019-08-31,50110650.0,633.2,788.5
2019-09-30,2019-09-30,50110650.0,510.9,1412.0
2019-10-31,2019-10-31,50110650.0,341.70000000000005,408.5
2019-11-30,2019-11-30,50110650.0,184.00000000000003,112.0
2019-12-31,2019-12-31,50110650.0,44.10000000000001,140.5
2019-01-31,2019-01-31,50110660.0,-64.60000000000001,20.0
2019-02-28,2019-02-28,50110660.0,-2.5,97.5
2019-03-31,2019-03-31,50110660.0,112.4,100.0
2019-04-30,2019-04-30,50110660.0,269.5,53.5
2019-05-31,2019-05-31,50110660.0,408.09999999999997,337.5
2019-06-30,2019-06-30,50110660.0,466.8,303.5
2019-07-31,2019-07-31,50110660.0,606.6999999999999,932.5
2019-08-31,2019-08-31,50110660.0,633.2,788.5
2019-09-30,2019-09-30,50110660.0,510.9,1412.0
2019-10-31,2019-10-31,50110660.0,341.70000000000005,408.5
2019-11-30,2019-11-30,50110660.0,184.00000000000003,112.0
2019-12-31,2019-12-31,50110660.0,44.10000000000001,140.5
2019-01-31,2019-01-31,50110670.0,149.1,24.5
2019-02-28,2019-02-28,50110670.0,166.2,39.0
2019-03-31,2019-03-31,50110670.0,285.5,45.0
2019-04-30,2019-04-30,50110670.0,396.40000000000003,39.5
2019-05-31,2019-05-31,50110670.0,564.5,48.5
2019-06-30,2019-06-30,50110670.0,613.6,164.0
2019-07-31,2019-07-31,50110670.0,757.6999999999999,450.0
2019-08-31,2019-08-31,50110670.0,826.1,247.5
2019-09-30,2019-09-30,50110670.0,683.6,726.0
2019-10-31,2019-10-31,50110670.0,563.6,180.0
2019-11-30,2019-11-30,50110670.0,393.90000000000003,40.0
2019-12-31,2019-12-31,50110670.0,250.50000000000003,62.0
2019-01-31,2019-01-31,50110680.0,149.1,24.5
2019-02-28,2019-02-28,50110680.0,166.2,39.0
2019-03-31,2019-03-31,50110680.0,285.5,45.0
2019-04-30,2019-04-30,50110680.0,396.40000000000003,39.5
2019-05-31,2019-05-31,50110680.0,564.5,48.5
2019-06-30,2019-06-30,50110680.0,613.6,164.0
2019-07-31,2019-07-31,50110680.0,757.6999999999999,450.0
2019-08-31,2019-08-31,50110680.0,826.1,247.5
2019-09-30,2019-09-30,50110680.0,683.6,726.0
2019-10-31,2019-10-31,50110680.0,563.6,180.0
2019-11-30,2019-11-30,50110680.0,393.90000000000003,40.0
2019-12-31,2019-12-31,50110680.0,250.50000000000003,62.0
2019-01-31,2019-01-31,50110690.0,149.1,24.5
2019-02-28,2019-02-28,50110690.0,166.2,39.0
2019-03-31,2019-03-31,50110690.0,285.5,45.0
2019-04-30,2019-04-30,50110690.0,396.40000000000003,39.5
2019-05-31,2019-05-31,50110690.0,564.5,48.5
2019-06-30,2019-06-30,50110690.0,613.6,164.0
2019-07-31,2019-07-31,50110690.0,757.6999999999999,450.0
2019-08-31,2019-08-31,50110690.0,826.1,247.5
2019-09-30,2019-09-30,50110690.0,683.6,726.0
2019-10-31,2019-10-31,50110690.0,563.6,180.0
2019-11-30,2019-11-30,50110690.0,393.90000000000003,40.0
2019-12-31,2019-12-31,50110690.0,250.50000000000003,62.0
2019-01-31,2019-01-31,50130250.0,223.49999999999997,17.0
2019-02-28,2019-02-28,50130250.0,204.70000000000002,37.0
2019-03-31,2019-03-31,50130250.0,244.79999999999995,43.0
2019-04-30,2019-04-30,50130250.0,426.99999999999994,48.0
2019-05-31,2019-05-31,50130250.0,558.6,89.5
2019-06-30,2019-06-30,50130250.0,621.5000000000001,250.5
2019-07-31,2019-07-31,50130250.0,739.4,267.0
2019-08-31,2019-08-31,50130250.0,808.2999999999998,235.0
2019-09-30,2019-09-30,50130250.0,702.0999999999999,275.0
2019-10-31,2019-10-31,50130250.0,618.7999999999998,124.5
2019-11-30,2019-11-30,50130250.0,460.09999999999997,16.5
2019-12-31,2019-12-31,50130250.0,320.1000000000001,59.0
2019-01-31,2019-01-31,50130253.0,101.79999999999998,26.5
2019-02-28,2019-02-28,50130253.0,134.6,134.0
2019-03-31,2019-03-31,50130253.0,266.20000000000005,136.0
2019-04-30,2019-04-30,50130253.0,373.1,145.5
2019-05-31,2019-05-31,50130253.0,552.5000000000001,489.0
2019-06-30,2019-06-30,50130253.0,554.2999999999998,388.0
2019-07-31,2019-07-31,50130253.0,648.9000000000001,783.5
2019-08-31,2019-08-31,50130253.0,743.5000000000001,341.5
2019-09-30,2019-09-30,50130253.0,621.5999999999999,933.5
2019-10-31,2019-10-31,50130253.0,473.6000000000001,208.0
2019-11-30,2019-11-30,50130253.0,361.2,32.0
2019-12-31,2019-12-31,50130253.0,183.30000000000004,181.0
2019-01-31,2019-01-31,50130259.0,168.70000000000007,17.0
2019-02-28,2019-02-28,50130259.0,183.29999999999998,83.0
2019-03-31,2019-03-31,50130259.0,304.59999999999997,124.0
2019-04-30,2019-04-30,50130259.0,392.5,129.0
2019-05-31,2019-05-31,50130259.0,579.3000000000001,137.0
2019-06-30,2019-06-30,50130259.0,593.5999999999999,166.5
2019-07-31,2019-07-31,50130259.0,742.1,540.5
2019-08-31,2019-08-31,50130259.0,814.8999999999999,326.0
2019-09-30,2019-09-30,50130259.0,697.8000000000001,631.5
2019-10-31,2019-10-31,50130259.0,573.2,303.5
2019-11-30,2019-11-30,50130259.0,401.20000000000005,48.5
2019-12-31,2019-12-31,50130259.0,255.10000000000002,94.5
