base_date,emd_cd,detached,apt,town,multiplex,commercial_building
138,2018-04-30,50110530,59279,56760,17641,27893,3647
139,2018-04-30,50110540,59279,56760,17641,27893,3647
140,2018-04-30,50110550,59279,56760,17641,27893,3647
141,2018-04-30,50110560,59279,56760,17641,27893,3647
142,2018-04-30,50110570,59279,56760,17641,27893,3647
143,2018-04-30,50110580,59279,56760,17641,27893,3647
144,2018-04-30,50110590,59279,56760,17641,27893,3647
145,2018-04-30,50110600,59279,56760,17641,27893,3647
146,2018-04-30,50110610,59279,56760,17641,27893,3647
147,2018-04-30,50110620,59279,56760,17641,27893,3647
148,2018-04-30,50110630,59279,56760,17641,27893,3647
149,2018-04-30,50110640,59279,56760,17641,27893,3647
150,2018-04-30,50110650,59279,56760,17641,27893,3647
151,2018-04-30,50110660,59279,56760,17641,27893,3647
152,2018-04-30,50110670,59279,56760,17641,27893,3647
153,2018-04-30,50110680,59279,56760,17641,27893,3647
154,2018-04-30,50110690,59279,56760,17641,27893,3647
155,2018-04-30,50130250,33440,17439,9305,5947,1717
156,2018-04-30,50130253,33440,17439,9305,5947,1717
157,2018-04-30,50130259,33440,17439,9305,5947,1717
158,2018-04-30,50130310,33440,17439,9305,5947,1717
159,2018-04-30,50130320,33440,17439,9305,5947,1717
160,2018-04-30,50130510,33440,17439,9305,5947,1717
161,2018-04-30,50130520,33440,17439,9305,5947,1717
162,2018-04-30,50130530,33440,17439,9305,5947,1717
163,2018-04-30,50130540,33440,17439,9305,5947,1717
164,2018-04-30,50130550,33440,17439,9305,5947,1717
165,2018-04-30,50130560,33440,17439,9305,5947,1717
166,2018-04-30,50130570,33440,17439,9305,5947,1717
167,2018-04-30,50130580,33440,17439,9305,5947,1717
168,2018-04-30,50130590,33440,17439,9305,5947,1717
169,2018-04-30,50130600,33440,17439,9305,5947,1717
170,2018-04-30,50130610,33440,17439,9305,5947,1717
171,2018-04-30,50130620,33440,17439,9305,5947,1717
172,2018-05-31,50110250,59279,56760,17641,27893,3647
173,2018-05-31,50110253,59279,56760,17641,27893,3647
174,2018-05-31,50110256,59279,56760,17641,27893,3647
175,2018-05-31,50110259,59279,56760,17641,27893,3647
176,2018-05-31,50110310,59279,56760,17641,27893,3647
177,2018-05-31,50110320,59279,56760,17641,27893,3647
178,2018-05-31,50110330,59279,56760,17641,27893,3647
179,2018-05-31,50110510,59279,56760,17641,27893,3647
180,2018-05-31,50110520,59279,56760,17641,27893,3647
181,2018-05-31,50110530,59279,56760,17641,27893,3647
182,2018-05-31,50110540,59279,56760,17641,27893,3647
183,2018-05-31,50110550,59279,56760,17641,27893,3647
184,2018-05-31,50110560,59279,56760,17641,27893,3647
185,2018-05-31,50110570,59279,56760,17641,27893,3647
186,2018-05-31,50110580,59279,56760,17641,27893,3647
187,2018-05-31,50110590,59279,56760,17641,27893,3647
188,2018-05-31,50110600,59279,56760,17641,27893,3647
189,2018-05-31,50110610,59279,56760,17641,27893,3647
190,2018-05-31,50110620,59279,56760,17641,27893,3647
191,2018-05-31,50110630,59279,56760,17641,27893,3647
192,2018-05-31,50110640,59279,56760,17641,27893,3647
193,2018-05-31,50110650,59279,56760,17641,27893,3647
194,2018-05-31,50110660,59279,56760,17641,27893,3647
195,2018-05-31,50110670,59279,56760,17641,27893,3647
196,2018-05-31,50110680,59279,56760,17641,27893,3647
197,2018-05-31,50110690,59279,56760,17641,27893,3647
198,2018-05-31,50130250,33440,17439,9305,5947,1717
199,2018-05-31,50130253,33440,17439,9305,5947,1717
200,2018-05-31,50130259,33440,17439,9305,5947,1717
201,2018-05-31,50130310,33440,17439,9305,5947,1717
202,2018-05-31,50130320,33440,17439,9305,5947,1717
203,2018-05-31,50130510,33440,17439,9305,5947,1717
204,2018-05-31,50130520,33440,17439,9305,5947,1717
205,2018-05-31,50130530,33440,17439,9305,5947,1717
206,2018-05-31,50130540,33440,17439,9305,5947,1717
207,2018-05-31,50130550,33440,17439,9305,5947,1717
208,2018-05-31,50130560,33440,17439,9305,5947,1717
209,2018-05-31,50130570,33440,17439,9305,5947,1717
210,2018-05-31,50130580,33440,17439,9305,5947,1717
211,2018-05-31,50130590,33440,17439,9305,5947,1717
212,2018-05-31,50130600,33440,17439,9305,5947,1717
213,2018-05-31,50130610,33440,17439,9305,5947,1717
214,2018-05-31,50130620,33440,17439,9305,5947,1717
215,2018-06-30,50110250,59279,56760,17641,27893,3647
216,2018-06-30,50110253,59279,56760,17641,27893,3647
217,2018-06-30,50110256,59279,56760,17641,27893,3647
218,2018-06-30,50110259,59279,56760,17641,27893,3647
219,2018-06-30,50110310,59279,56760,17641,27893,3647
220,2018-06-30,50110320,59279,56760,17641,27893,3647
221,2018-06-30,50110330,59279,56760,17641,27893,3647
222,2018-06-30,50110510,59279,56760,17641,27893,3647
223,2018-06-30,50110520,59279,56760,17641,27893,3647
224,2018-06-30,50110530,59279,56760,17641,27893,3647
225,2018-06-30,50110540,59279,56760,17641,27893,3647
226,2018-06-30,50110550,59279,56760,17641,27893,3647
227,2018-06-30,50110560,59279,56760,17641,27893,3647
228,2018-06-30,50110570,59279,56760,17641,27893,3647
229,2018-06-30,50110580,59279,56760,17641,27893,3647
230,2018-06-30,50110590,59279,56760,17641,27893,3647
231,2018-06-30,50110600,59279,56760,17641,27893,3647
232,2018-06-30,50110610,59279,56760,17641,27893,3647
233,2018-06-30,50110620,59279,56760,17641,27893,3647
234,2018-06-30,50110630,59279,56760,17641,27893,3647
235,2018-06-30,50110640,59279,56760,17641,27893,3647
236,2018-06-30,50110650,59279,56760,17641,27893,3647
237,2018-06-30,50110660,59279,56760,17641,27893,3647
238,2018-06-30,50110670,59279,56760,17641,27893,3647
239,2018-06-30,50110680,59279,56760,17641,27893,3647
240,2018-06-30,50110690,59279,56760,17641,27893,3647
241,2018-06-30,50130250,33440,17439,9305,5947,1717
242,2018-06-30,50130253,33440,17439,9305,5947,1717
243,2018-06-30,50130259,33440,17439,9305,5947,1717
244,2018-06-30,50130310,33440,17439,9305,5947,1717
245,2018-06-30,50130320,33440,17439,9305,5947,1717
246,2018-06-30,50130510,33440,17439,9305,5947,1717
247,2018-06-30,50130520,33440,17439,9305,5947,1717
248,2018-06-30,50130530,33440,17439,9305,5947,1717
249,2018-06-30,50130540,33440,17439,9305,5947,1717
250,2018-06-30,50130550,33440,17439,9305,5947,1717
251,2018-06-30,50130560,33440,17439,9305,5947,1717
252,2018-06-30,50130570,33440,17439,9305,5947,1717
253,2018-06-30,50130580,33440,17439,9305,5947,1717
254,2018-06-30,50130590,33440,17439,9305,5947,1717
255,2018-06-30,50130600,33440,17439,9305,5947,1717
256,2018-06-30,50130610,33440,17439,9305,5947,1717
257,2018-06-30,50130620,33440,17439,9305,5947,1717
258,2018-07-31,50110250,59279,56760,17641,27893,3647
259,2018-07-31,50110253,59279,56760,17641,27893,3647
260,2018-07-31,50110256,59279,56760,17641,27893,3647
261,2018-07-31,50110259,59279,56760,17641,27893,3647
262,2018-07-31,50110310,59279,56760,17641,27893,3647
263,2018-07-31,50110320,59279,56760,17641,27893,3647
264,2018-07-31,50110330,59279,56760,17641,27893,3647
265,2018-07-31,50110510,59279,56760,17641,27893,3647
266,2018-07-31,50110520,59279,56760,17641,27893,3647
